CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
5167-GBFRE,1,United States,California,Oakland,94602,"37.803883, -122.208417",37.803883,-122.208417,Male,Yes,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.2,102.5,Yes,1,72,4694,Don't know
5666-MBJPT,1,United States,California,Bakersfield,93304,"35.339796, -119.023552",35.339796,-119.023552,Male,No,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.1,1725,No,0,46,5449,
0329-GTIAJ,1,United States,California,Garden Grove,92844,"33.766476, -117.969795",33.766476,-117.969795,Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.9,315.3,Yes,1,86,4330,Price too high
0872-CASZJ,1,United States,California,Hamilton City,95951,"39.732767, -122.042298",39.732767,-122.042298,Male,No,Yes,No,59,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,69.1,4096.9,No,0,29,4765,
0921-OHLVP,1,United States,California,Paradise,95969,"39.69676, -121.644379",39.69676,-121.644379,Male,No,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,83.05,1799.3,No,0,59,5357,
5480-XTFFL,1,United States,California,Mount Hermon,95041,"37.051166, -122.056194",37.051166,-122.056194,Female,No,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.0,697.7,No,0,24,5225,
8259-DZLIZ,1,United States,California,Delhi,95315,"37.422961, -120.765493",37.422961,-120.765493,Female,No,Yes,Yes,64,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),53.85,3399.85,No,0,36,4954,
0876-WDUUZ,1,United States,California,Pine Grove,95665,"38.400264, -120.641274",38.400264,-120.641274,Female,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),85.4,425.9,Yes,1,90,3716,Long distance charges
1791-PQHBB,1,United States,California,El Dorado,95623,"38.63153, -120.842609",38.63153,-120.842609,Female,No,No,Yes,2,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.2,125.95,No,0,31,5056,
7251-XFOIL,1,United States,California,Coulterville,95311,"37.722127, -120.110174",37.722127,-120.110174,Female,No,No,No,61,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.2,5500.6,No,0,23,5536,
0463-ZSDNT,1,United States,California,Escondido,92026,"33.21846, -117.116916",33.21846,-117.116916,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.75,503.25,No,0,70,2037,
9073-ZZIAY,1,United States,California,Long Beach,90806,"33.802664, -118.179971",33.802664,-118.179971,Male,No,Yes,No,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.1,5215.25,No,0,62,5769,
5846-QFDFI,1,United States,California,Pine Valley,91962,"32.800671, -116.483363",32.800671,-116.483363,Female,No,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),88.6,2888.7,No,0,78,3648,
8739-XNIKG,1,United States,California,Bakersfield,93301,"35.383937, -119.020428",35.383937,-119.020428,Female,No,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.0,424.75,No,0,54,4456,
4315-MURBD,1,United States,California,San Bruno,94066,"37.624436, -122.430661",37.624436,-122.430661,Female,No,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Yes,1,71,5559,Price too high
1090-PYKCI,1,United States,California,Boonville,95415,"39.025867, -123.381544",39.025867,-123.381544,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),105.1,7234.8,No,0,27,4686,
8000-REIQB,1,United States,California,Santee,92071,"32.847336, -116.997605",32.847336,-116.997605,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,69.95,Yes,1,94,3208,Competitor offered higher download speeds
4795-KTRTH,1,United States,California,San Diego,92122,"32.85723, -117.209774",32.85723,-117.209774,Female,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.0,371.65,Yes,1,99,4287,Product dissatisfaction
3113-IWHLC,1,United States,California,Strathmore,93267,"36.141319, -119.129075",36.141319,-119.129075,Male,No,No,No,5,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.8,274.35,No,0,69,2612,
8938-UMKPI,1,United States,California,Corona,92882,"33.819385, -117.600213",33.819385,-117.600213,Female,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,5127.95,Yes,1,99,4804,Attitude of support person
1116-DXXDF,1,United States,California,Porter Ranch,91326,"34.281911, -118.556218",34.281911,-118.556218,Male,No,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,100.45,3801.7,No,0,45,2698,
3374-LXDEV,1,United States,California,Pearblossom,93553,"34.445239, -117.894868",34.445239,-117.894868,Female,No,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.4,1132.35,Yes,1,75,2226,Attitude of service provider
4883-KCPZJ,1,United States,California,Deer Park,94576,"38.554383, -122.474773",38.554383,-122.474773,Female,No,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.25,555.4,No,0,75,4386,
1335-NTIUC,1,United States,California,Pacoima,91331,"34.255442, -118.421314",34.255442,-118.421314,Male,No,No,No,9,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,190.25,No,0,24,5473,
1371-OJCEK,1,United States,California,Standish,96128,"40.346634, -120.386422",40.346634,-120.386422,Female,No,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.35,1133.7,No,0,70,4200,
0164-APGRB,1,United States,California,Calistoga,94515,"38.629618, -122.593216",38.629618,-122.593216,Female,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,No,0,69,4589,
8086-OVPWV,1,United States,California,San Diego,92105,"32.741859, -117.090353",32.741859,-117.090353,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.2,181.1,Yes,1,99,2384,Competitor offered higher download speeds
9028-LIHRP,1,United States,California,Burbank,91506,"34.169706, -118.323548",34.169706,-118.323548,Male,No,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),100.2,7209,No,0,55,5502,
5370-IIVVL,1,United States,California,Le Grand,95333,"37.249377, -120.249581",37.249377,-120.249581,Male,No,No,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.5,3778,No,0,21,4812,
8676-OOQEJ,1,United States,California,Amboy,92304,"34.559882, -115.637164",34.559882,-115.637164,Male,No,No,No,4,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,30.5,118.4,No,0,29,3030,
5357-TZHPP,1,United States,California,Wheatland,95692,"39.043387, -121.409837",39.043387,-121.409837,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.4,732.5,Yes,1,83,5745,Competitor offered higher download speeds
7206-PQBBZ,1,United States,California,Fontana,92336,"34.136367, -117.460803",34.136367,-117.460803,Male,Yes,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,834.7,No,0,29,2848,
4906-ZHGPK,1,United States,California,Los Angeles,90046,"34.108455, -118.362081",34.108455,-118.362081,Male,No,Yes,No,54,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,70.7,3770,No,0,77,5276,
8164-OCKUJ,1,United States,California,Magalia,95954,"39.933852, -121.584371",39.933852,-121.584371,Female,No,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.6,1286,No,0,55,6325,
0945-TSONX,1,United States,California,Encino,91436,"34.152875, -118.486056",34.152875,-118.486056,Female,No,Yes,No,47,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,No,0,30,5698,
5977-CKHON,1,United States,California,Roseville,95678,"38.759751, -121.288545",38.759751,-121.288545,Female,No,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.55,4039,No,0,37,3853,
4640-UHDOS,1,United States,California,Phelan,92371,"34.441123, -117.537886",34.441123,-117.537886,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,Yes,1,91,4498,Competitor had better devices
7157-SMCFK,1,United States,California,Valencia,91355,"34.43987, -118.644609",34.43987,-118.644609,Male,No,No,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,1124.2,No,0,76,5411,
5003-OKNNK,1,United States,California,Hoopa,95546,"41.163637, -123.704841",41.163637,-123.704841,Female,No,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.35,335.95,No,0,68,3205,
1984-GPTEH,1,United States,California,Burbank,91506,"34.169706, -118.323548",34.169706,-118.323548,Female,No,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.15,702,No,0,46,5491,
6372-RFVNS,1,United States,California,Placentia,92870,"33.881158, -117.854783",33.881158,-117.854783,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,Yes,1,87,5075,Attitude of service provider
8107-RZLNV,1,United States,California,South Gate,90280,"33.944624, -118.192615",33.944624,-118.192615,Male,No,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.3,7565.35,No,0,62,4634,
2121-JAFOM,1,United States,California,Danville,94526,"37.815459, -121.977203",37.815459,-121.977203,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.55,8312.4,No,0,38,5076,
5716-EZXZN,1,United States,California,Surfside,90743,"33.728273, -118.085304",33.728273,-118.085304,Female,No,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,No,0,59,5878,
9701-CDXHR,1,United States,California,Apple Valley,92307,"34.55082, -117.122396",34.55082,-117.122396,Female,No,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,No,0,55,5187,
8608-OZTLB,1,United States,California,Applegate,95703,"38.983388, -120.988814",38.983388,-120.988814,Male,No,Yes,Yes,38,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,74.05,2802.3,No,0,59,5975,
5196-WPYOW,1,United States,California,Paso Robles,93446,"35.634222, -120.728341",35.634222,-120.728341,Male,No,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,60.05,3994.05,No,0,21,6148,
3655-SNQYZ,1,United States,California,Los Angeles,90017,"34.052842, -118.264495",34.052842,-118.264495,Female,No,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,43,5141,
4587-VVTOX,1,United States,California,Frazier Park,93222,"34.907911, -119.234281",34.907911,-119.234281,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,Yes,1,90,4163,Competitor offered more data
3351-NQLDI,1,United States,California,Travis Afb,94535,"38.265899, -121.939461",38.265899,-121.939461,Female,No,Yes,No,67,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),94.35,6341.45,Yes,1,99,4348,Long distance charges
1134-YWTYF,1,United States,California,Fresno,93725,"36.623632, -119.741322",36.623632,-119.741322,Male,No,Yes,No,27,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.8,1389.85,No,0,66,2563,
0056-EPFBG,1,United States,California,Redding,96003,"40.677649, -122.29467",40.677649,-122.29467,Male,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,No,0,29,3899,
5294-IMHHT,1,United States,California,Occidental,95465,"38.415003, -122.998726",38.415003,-122.998726,Male,No,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),97.75,5043.2,No,0,41,4488,
2159-TURXX,1,United States,California,Weaverville,96093,"40.759401, -122.939337",40.759401,-122.939337,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.05,95.55,No,0,51,2483,
5993-JSUWV,1,United States,California,Columbia,95310,"38.085839, -120.37855",38.085839,-120.37855,Female,No,No,No,66,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),61.15,4017.45,No,0,66,5133,
8857-CUPFQ,1,United States,California,Wallace,95254,"38.192608, -120.957842",38.192608,-120.957842,Male,No,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.25,1237.65,No,0,20,4538,
1391-UBDAR,1,United States,California,Riverside,92504,"33.9108, -117.398153",33.9108,-117.398153,Male,No,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9,818.45,No,0,71,3042,
7995-ZHHNZ,1,United States,California,Fullerton,92832,"33.868316, -117.929029",33.868316,-117.929029,Male,No,Yes,No,42,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),56.1,2386.85,No,0,69,5904,
0516-UXRMT,1,United States,California,Oxnard,93033,"34.156629, -119.117218",34.156629,-119.117218,Female,No,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,92.05,5755.8,No,0,71,5801,
3398-FSHON,1,United States,California,Los Angeles,90019,"34.049841, -118.33846",34.049841,-118.33846,Female,Yes,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.3,1094.5,Yes,1,94,4703,Competitor offered more data
8646-JCOMS,1,United States,California,Maywood,90270,"33.988572, -118.186565",33.988572,-118.186565,Female,No,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.55,6130.95,No,0,38,4958,
7989-AWGEH,1,United States,California,San Luis Obispo,93405,"35.236549, -120.727344",35.236549,-120.727344,Male,No,Yes,Yes,49,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.2,1838.15,No,0,39,4810,
0781-LKXBR,1,United States,California,San Francisco,94102,"37.7795, -122.419233",37.7795,-122.419233,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,Yes,1,70,4038,Price too high
2410-CIYFZ,1,United States,California,Woodland,95776,"38.694081, -121.694431",38.694081,-121.694431,Male,No,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,42.9,No,0,77,3000,
4694-PHWFW,1,United States,California,San Francisco,94105,"37.789168, -122.395009",37.789168,-122.395009,Female,No,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,170.9,No,0,40,5919,
1541-ETJZO,1,United States,California,Wheatland,95692,"39.043387, -121.409837",39.043387,-121.409837,Male,No,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,62.05,62.05,Yes,1,86,2937,Moved
9052-DHNKM,1,United States,California,Redondo Beach,90277,"33.830453, -118.384565",33.830453,-118.384565,Male,No,No,No,26,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,61.55,1581.95,No,0,30,5156,
9658-WYUFB,1,United States,California,Lathrop,95330,"37.80821, -121.308401",37.80821,-121.308401,Female,No,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.4,1617.5,Yes,1,66,2825,Competitor offered more data
9809-IMGCQ,1,United States,California,Canyon Dam,95923,"40.171312, -121.120605",40.171312,-121.120605,Male,Yes,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,Yes,1,93,4458,Competitor made better offer
5156-UMKOW,1,United States,California,San Simeon,93452,"35.746484, -121.223355",35.746484,-121.223355,Female,No,No,Yes,3,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,29.65,90.05,No,0,69,5880,
7145-FEJWU,1,United States,California,San Francisco,94134,"37.721052, -122.413573",37.721052,-122.413573,Female,No,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65,No,0,72,5913,
1122-YJBCS,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Male,No,Yes,No,69,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),53.65,3804.4,No,0,55,6092,
2207-OBZNX,1,United States,California,Aguanga,92536,"33.482243, -116.827173",33.482243,-116.827173,Male,No,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.0,354.05,Yes,1,90,3736,Attitude of service provider
6762-NSODU,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,958.15,No,0,77,4630,
0032-PGELS,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.823091,Female,No,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Yes,1,74,5171,Attitude of service provider
7279-BUYWN,1,United States,California,Buena Park,90620,"33.845706, -118.012204",33.845706,-118.012204,Female,Yes,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,Yes,1,89,3380,Attitude of support person
2509-TFPJU,1,United States,California,Torrance,90505,"33.807882, -118.347957",33.807882,-118.347957,Male,No,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.75,1864.2,No,0,24,4413,
8109-YUOHE,1,United States,California,Porter Ranch,91326,"34.281911, -118.556218",34.281911,-118.556218,Male,No,No,No,17,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,56.1,946.95,No,0,56,5025,
4484-CGXFK,1,United States,California,El Dorado,95623,"38.63153, -120.842609",38.63153,-120.842609,Female,No,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.3,196.15,Yes,1,96,3190,Product dissatisfaction
2522-WLNSF,1,United States,California,Los Olivos,93441,"34.70434, -120.02609",34.70434,-120.02609,Female,Yes,Yes,No,34,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),64.2,2106.3,No,0,34,2225,
3393-FMZPV,1,United States,California,Elverta,95626,"38.734997, -121.463719",38.734997,-121.463719,Female,No,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,2387.75,Yes,1,74,2195,Extra data charges
9027-TMATR,1,United States,California,Warner Springs,92086,"33.323705, -116.626907",33.323705,-116.626907,Female,No,Yes,No,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,78.8,3460.3,No,0,24,3972,
0487-CRLZF,1,United States,California,Poway,92064,"32.984395, -117.013454",32.984395,-117.013454,Female,No,No,No,49,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.45,3721.9,No,0,60,4517,
8816-VXNZD,1,United States,California,Coronado,92118,"32.68674, -117.186612",32.68674,-117.186612,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,75.1,Yes,1,83,4335,Lack of self-service on Website
3865-QBWSJ,1,United States,California,Courtland,95615,"38.311609, -121.554034",38.311609,-121.554034,Male,Yes,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.45,3162.65,No,0,41,2926,
3620-EHIMZ,1,United States,California,Menifee,92584,"33.653338, -117.178271",33.653338,-117.178271,Female,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1031.7,No,0,66,5699,
3027-ZTDHO,1,United States,California,Fresno,93721,"36.732694, -119.783786",36.732694,-119.783786,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,Yes,1,80,5951,Don't know
8198-RKSZG,1,United States,California,El Cerrito,94530,"37.924838, -122.289145",37.924838,-122.289145,Female,No,Yes,Yes,14,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),80.45,1137.05,No,0,26,5772,
